row_type,plot_group,dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,eval_split,metric_name,metric_label,metric_value,metric_value_percent,n_scores,expected_scores,completed_scores,score_source,status,is_placeholder,needs_more_runs,source_path,notes,last_updated
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,42,test,span_strict_f1,Strict span F1,0.3426322491029054,34.26322491029054,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,142,test,span_strict_f1,Strict span F1,0.3703490049033747,37.03490049033747,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,242,test,span_strict_f1,Strict span F1,0.3796399751707014,37.96399751707014,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,42,test,span_strict_f1,Strict span F1,0.5172511046347653,51.72511046347653,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,142,test,span_strict_f1,Strict span F1,0.5131603165838395,51.31603165838396,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,242,test,span_strict_f1,Strict span F1,0.4790714677389874,47.90714677389874,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,42,test,span_strict_f1,Strict span F1,0.6622666087711681,66.2266608771168,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,142,test,span_strict_f1,Strict span F1,0.5539269677200712,55.39269677200712,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,242,test,span_strict_f1,Strict span F1,0.6179086434677489,61.79086434677489,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,42,test,span_strict_f1,Strict span F1,0.7348066298342543,73.48066298342543,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,142,test,span_strict_f1,Strict span F1,0.7605535729828531,76.05535729828532,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,242,test,span_strict_f1,Strict span F1,0.7256513376464416,72.56513376464416,1,3,1,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Standard k-shot BERT baseline; held-out test score.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,42,test,span_strict_f1,Strict span F1,0.4919296053316672,49.19296053316673,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k5_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,142,test,span_strict_f1,Strict span F1,0.4443981240229286,44.43981240229286,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k5_seed142_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,242,test,span_strict_f1,Strict span F1,0.4742630884293885,47.42630884293884,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k5_seed242_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,42,test,span_strict_f1,Strict span F1,0.5576804441702653,55.76804441702653,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k10_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,142,test,span_strict_f1,Strict span F1,0.5442928308425384,54.42928308425385,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k10_seed142_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,242,test,span_strict_f1,Strict span F1,0.5135369287416072,51.35369287416071,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k10_seed242_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,42,test,span_strict_f1,Strict span F1,0.6500294753389663,65.00294753389663,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k20_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,142,test,span_strict_f1,Strict span F1,0.6280740815706912,62.80740815706912,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k20_seed142_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,242,test,span_strict_f1,Strict span F1,0.5748454444106618,57.48454444106618,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k20_seed242_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
individual,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,50,42,test,span_strict_f1,Strict span F1,0.7191267204556241,71.9126720455624,1,3,1,test,ready_for_draft,false,false,reports/single_bart_tagging/k50_seed42_pat_perm_bart_pattern_01_test_metrics.json,Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
