row_type,plot_group,dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,eval_split,metric_name,metric_label,metric_value,metric_value_percent,n_scores,expected_scores,completed_scores,score_source,status,is_placeholder,needs_more_runs,source_path,notes,last_updated
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.3642070763923271,36.42070763923272,3,3,3,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.3426322491029054;0.3703490049033747;0.3796399751707014. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5031609629858641,50.31609629858641,3,3,3,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.5172511046347653;0.5131603165838395;0.4790714677389874. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,20,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.611367406652996,61.13674066529961,3,3,3,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.6622666087711681;0.5539269677200712;0.6179086434677489. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,bert,BERT,google-bert/bert-base-cased,50,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.7403371801545163,74.03371801545163,3,3,3,test,ready_for_draft,false,false,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv;results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Mean over split seeds 42;142;242. Individual scores: 0.7348066298342543;0.7605535729828531;0.7256513376464416. Standard k-shot BERT baseline; held-out test score.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.4701969392613281,47.01969392613281,3,3,3,test,ready_for_draft,false,false,reports/single_bart_tagging/k5_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k5_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k5_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.4919296053316672;0.4443981240229286;0.4742630884293885. Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5385034012514703,53.85034012514704,3,3,3,test,ready_for_draft,false,false,reports/single_bart_tagging/k10_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k10_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k10_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.5576804441702653;0.5442928308425384;0.5135369287416072. Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,20,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.617649667106773,61.76496671067731,3,3,3,test,ready_for_draft,false,false,reports/single_bart_tagging/k20_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k20_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k20_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.6500294753389663;0.6280740815706912;0.5748454444106618. Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart,Pat+Perm BART,facebook/bart-base,50,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.7244178823835847,72.44178823835847,3,3,3,test,ready_for_draft,false,false,reports/single_bart_tagging/k50_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k50_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k50_seed242_pat_perm_bart_pattern_01_test_metrics.json,Mean over split seeds 42;142;242. Individual scores: 0.7191267204556241;0.7276923076923077;0.7264346190028221. Single pattern_01 BART learner; held-out test score from generated hard tags.,2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_vote,Pat+Perm BART ensemble vote,facebook/bart-base,5,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.4629219918835534,46.29219918835534,3,3,3,test,ready_for_draft,false,false,reports/ensemble_tagging/k5_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k5_seed242_pet_oada_verbalized_final2000_test_metrics.json,"Mean over split seeds 42;142;242. Individual scores: 0.484077841662981;0.4459323736190157;0.4587557603686636. Direct hard-argmax majority vote from the pattern-diverse, order-permuted BART ensemble.",2026-05-18
mean,main,conll2003,ner,coarse,BIO,pat_perm_bart_ensemble_vote,Pat+Perm BART ensemble vote,facebook/bart-base,10,42;142;242,test,span_strict_f1_mean,Mean strict span F1,0.5465215743105848,54.65215743105848,3,3,3,test,ready_for_draft,false,false,reports/ensemble_tagging/k10_seed42_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed142_pet_oada_verbalized_final2000_test_metrics.json;reports/ensemble_tagging/k10_seed242_pet_oada_verbalized_final2000_test_metrics.json,"Mean over split seeds 42;142;242. Individual scores: 0.5575595176749459;0.5354469396741525;0.5465582655826559. Direct hard-argmax majority vote from the pattern-diverse, order-permuted BART ensemble.",2026-05-18
